accident_severity,vehicle_reference,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location-restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,1st_point_of_impact,was_vehicle_left_hand_drive?,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_(cc),propulsion_code,age_of_vehicle,driver_home_area_type,NUmber_of_Casualities_unique_to_accident_index,No_of_Vehicles_involved_unique_to_accident_index,location_easting_osgr,location_northing_osgr,police_force,number_of_vehicles,number_of_casualties,day_of_week,local_authority_(district),1st_road_class,1st_road_number,road_type,speed_limit,junction_detail,junction_control,2nd_road_class,2nd_road_number,pedestrian_crossing-human_control,pedestrian_crossing-physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
2,1,9,0,18,0,8,0,0,0,0,1,1,6,2,24,5,3200,2,10,1,1,2,539590,170770,1,2,1,6,19,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,2,11,0,7,0,1,0,0,0,0,0,1,1,1,66,10,9000,2,16,1,1,2,601848,224261,42,2,1,1,455,6,0,1,30,1,4,6,0,0,0,1,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,2,10,0,18,0,0,0,0,0,0,3,1,1,2,58,9,2198,2,3,2,2,2,530871,152682,45,2,2,6,516,1,23,3,70,0,4,6,0,0,0,6,2,2,0,0,2,1,2,1,2,58,9,3,0,0,0,0,0,10,2,6
3,3,9,0,18,0,0,0,0,0,0,2,1,1,2,23,5,1598,1,8,1,1,3,486660,207597,43,3,1,4,476,3,413,6,60,0,4,6,0,0,0,1,1,1,0,0,2,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,1,8,0,18,0,0,0,0,0,0,4,1,6,3,38,7,1598,1,8,1,1,1,437740,373660,30,1,1,7,322,6,0,6,30,0,4,6,0,0,0,1,9,1,0,0,1,2,1,3,2,41,7,3,9,5,0,0,0,0,1,2
3,1,9,0,13,0,0,1,7,1,0,1,1,6,1,46,8,1896,2,13,1,1,5,533738,202593,41,5,1,2,430,4,156,6,30,0,4,6,0,0,0,4,1,1,0,0,1,1,1,1,1,46,8,3,0,0,0,0,0,9,1,4
3,2,9,0,18,0,8,0,0,0,0,4,1,6,1,45,7,1689,2,11,1,1,2,543190,182730,1,2,1,3,17,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,1,1,1,45,7,3,0,0,0,0,0,9,1,1
2,1,9,0,9,0,8,0,0,0,0,1,1,2,1,59,9,1598,1,8,1,1,2,475553,261073,34,2,1,4,384,6,8374,6,30,3,4,6,8467,0,0,1,1,1,0,0,1,1,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,3,9,0,4,0,1,0,0,0,0,2,1,6,1,42,7,1595,1,13,2,3,3,393170,267210,22,3,3,7,277,3,38,6,40,1,4,6,0,0,0,1,1,1,0,0,2,2,1,1,1,33,6,3,0,0,0,0,0,9,1,5
3,1,1,0,16,0,8,0,0,0,0,1,1,2,1,33,6,1598,1,8,1,1,2,538980,184260,1,2,1,2,17,3,112,6,30,6,2,3,112,0,5,1,1,1,0,0,1,2,1,1,1,33,6,3,0,0,0,0,0,1,1,3
